sample,Sample_name,Locus,tech,Hash,nReads,rank,kingdom,phylum,class,order,family,genus,species,taxon,MiSeqRun
MC_D,90,BF3,3,befec3cb525983c44fa97460953a90ff584b8d47,302,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,5
MC_D,90,BF3,3,9723040507573295908370f302b0a00c5c28f813,182,genus,Metazoa,Mollusca,Bivalvia,Myida,Myidae,Mya,NA,Mya,5
MC_D,90,BF3,3,2709a4d571ff42851d46d65445d311688eec7689,279,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,5
MC_D,90,BF3,3,684810f8d05a81ac45c0f6b21180c2a1700b5b29,283,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,5
MC_D,90,BF3,3,f1b6cbe188bc13d30320ad0d31d6b4a5b602218f,184,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,5
MC_D,90,BF3,3,236bca3206ed3c0579926bb1ee98706ea6e8e5d4,146,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus magister,Metacarcinus magister,5
MC_D,90,BF3,3,bd4bfd82c9d2e9197acdcb72a61e091f01ea2247,212,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,Carcinus maenas,5
MC_D,90,BF3,3,11bc5b4f80a0f346a1cc03a86a26dd4313bff62a,42,species,Metazoa,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,Ruditapes philippinarum,Ruditapes philippinarum,5
MC_D,90,BF3,3,4ad6c700ef839622bedc3a38054b9536e8eaf552,76,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus magister,Metacarcinus magister,5
MC_D,90,BF3,3,095a1db4868c8536e38474706caa7dc687c80a88,29,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus magister,Metacarcinus magister,5
MC_D,90,BF3,3,5063322535c4f9af1322193a29f070001788c0f8,38,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus magister,Metacarcinus magister,5
MC_D,90,BF3,3,1213612785627a26f9995b9f29b2f7daf628ab3a,54,genus,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,NA,Crangon,5
