sample,Sample_name,Locus,tech,Hash,nReads,rank,kingdom,phylum,class,order,family,genus,species,taxon,MiSeqRun
MC_E,100,BF3,1,eaa70a74bb73b4b8b17b9f492921b7bc8e0c57a4,110,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus magister,Metacarcinus magister,3
MC_E,100,BF3,1,be852773dcb909015503058be361a92ce69848bd,199,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_E,100,BF3,1,236bca3206ed3c0579926bb1ee98706ea6e8e5d4,16,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus magister,Metacarcinus magister,3
MC_E,100,BF3,1,85ae8b995a1c9e5d9f4b6e265538078035f220d2,331,species,Metazoa,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,Ruditapes philippinarum,Ruditapes philippinarum,3
MC_E,100,BF3,1,aee053d6803cdb5a8171495d7b79efae9b68c8f7,477,species,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Zosteraceae,NA,NA,Zosteraceae,3
MC_E,100,BF3,1,4ad6c700ef839622bedc3a38054b9536e8eaf552,18,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus magister,Metacarcinus magister,3
MC_E,100,BF3,1,095a1db4868c8536e38474706caa7dc687c80a88,13,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus magister,Metacarcinus magister,3
MC_E,100,BF3,1,f9bec8a1cda505aef0a4a5a162274b00b387872d,89,genus,Metazoa,Mollusca,Bivalvia,Myida,Myidae,Mya,NA,Mya,3
MC_E,100,BF3,1,984560259e9b6fba757665c6a6d7250bcaea3f63,58,species,Metazoa,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,Ruditapes philippinarum,Ruditapes philippinarum,3
MC_E,100,BF3,1,11bc5b4f80a0f346a1cc03a86a26dd4313bff62a,15,species,Metazoa,Mollusca,Bivalvia,Venerida,Veneridae,Ruditapes,Ruditapes philippinarum,Ruditapes philippinarum,3
MC_E,100,BF3,1,46058688dff6ad0c446936715da0b6d461d66ff4,20,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_E,100,BF3,1,8043288a8de0a1058d0b10037e7dda473e0111f3,22,genus,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,NA,Crangon,3
MC_E,100,BF3,1,57f93ec05f3192f667645192b0cab92062bf5414,11,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_E,100,BF3,1,921a619530265c77845aff59fa0e09fb1ca270cb,8,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_E,100,BF3,1,afc95c4fb5e4a9a9aec7b140b40a156ef45c4617,17,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_E,100,BF3,1,4f61e33a32c46d7f81d526f66acfe3e088d196a6,11,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_E,100,BF3,1,fc127fcfc249e1ae3bf9d34034d47799adeaa313,7,genus,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,NA,Crangon,3
MC_E,100,BF3,1,e0254b419ae70e17fc3a775368743fa8773609c4,14,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus magister,Metacarcinus magister,3
MC_E,100,BF3,1,61a2d62210eb0628f909d4d869e215bed66e5b1d,8,species,Metazoa,Chordata,Actinopteri,Perciformes,Cottidae,Leptocottus,Leptocottus armatus,Leptocottus armatus,3
MC_E,100,BF3,1,780f8d9c732c4c6a36d034c19abdf57b6a5cc69a,7,species,Metazoa,Chordata,Actinopteri,NA,Embiotocidae,Cymatogaster,Cymatogaster aggregata,Cymatogaster aggregata,3
MC_E,100,BF3,1,746c56234b042dc796acbf0979f737fa57a8c038,5,species,Metazoa,Mollusca,Gastropoda,NA,Batillariidae,Batillaria,Batillaria attramentaria,Batillaria attramentaria,3
MC_E,100,BF3,1,5ea0d730e8aed3d30e2765859909c1de8b20c5c8,5,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus magister,Metacarcinus magister,3
MC_E,100,BF3,1,8e62f2bd2ada4d41d70f451ee9a7c208c5e54fef,3,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus magister,Metacarcinus magister,3
MC_E,100,BF3,1,95a2b654533880847e66326d29e1df863c47ef22,2,species,Metazoa,Chordata,Actinopteri,NA,Embiotocidae,Cymatogaster,Cymatogaster aggregata,Cymatogaster aggregata,3
MC_E,101,BF3,2,5cc5bda34a61687ff23dd35422f3f67055889af9,7512,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon franciscorum,Crangon franciscorum,3
MC_E,101,BF3,2,fa07c137c879896a4b3550b677aac7c27dd4f250,4382,species,Metazoa,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,Metacarcinus magister,Metacarcinus magister,3
MC_E,101,BF3,2,fd21a4a69e41031e050b80c96a578a2b0e1575ad,7709,species,Metazoa,Chordata,Actinopteri,NA,Embiotocidae,Cymatogaster,Cymatogaster aggregata,Cymatogaster aggregata,3
MC_E,101,BF3,2,41384eb53ebdac9ad36e75109961bdacfada2509,3897,species,Metazoa,Mollusca,Gastropoda,NA,Batillariidae,Batillaria,Batillaria attramentaria,Batillaria attramentaria,3
