sample_id,sample,tech,MiSeqRun,PCR1cycles,PCR2cycles,PCRcycles
WACO21-281-a,WACO21-281,1,2,35,5,40
WACO21-281-c,WACO21-281,3,2,35,5,40
WACO21-281-e,WACO21-281,5,2,35,5,40
WACO21-097-a,WACO21-097,1,2,35,5,40
WACO21-097-b,WACO21-097,2,2,35,5,40
WACO21-097-c,WACO21-097,3,2,35,5,40
WACO21-340-a,WACO21-340,1,2,35,5,40
WACO21-340-b,WACO21-340,2,2,35,5,40
WACO21-340-c,WACO21-340,3,2,35,5,40
WACO21-099-a,WACO21-099,1,3,35,8,43
WACO21-099-b,WACO21-099,2,3,35,8,43
WACO21-099-c,WACO21-099,3,3,35,8,43
WACO21-115-b,WACO21-115,2,3,35,12,47
WACO21-115-c,WACO21-115,3,3,35,12,47
WACO21-115-a,WACO21-115,1,3,35,12,47
WACO21-658-c,WACO21-658,3,5,35,8,43
WACO21-658-a,WACO21-658,1,5,35,8,43
WACO21-658-b,WACO21-658,2,5,35,8,43
WACO21-240-a,WACO21-240,1,4,35,5,40
WACO21-240-b,WACO21-240,2,4,35,5,40
WACO21-240-c,WACO21-240,3,4,35,5,40
WACO21-665-a,WACO21-665,1,5,35,8,43
WACO21-665-b,WACO21-665,2,5,35,8,43
WACO21-665-c,WACO21-665,3,5,35,8,43
WACO21-108-c,WACO21-108,3,3,35,12,47
WACO21-108-f,WACO21-108,6,4,35,12,47
WACO21-128-a,WACO21-128,1,3,35,12,47
WACO21-128-c,WACO21-128,3,3,35,12,47
WACO21-128-d,WACO21-128,4,4,35,12,47
WACO21-128-f,WACO21-128,6,4,35,12,47
WACO21-288-a,WACO21-288,1,2,35,12,47
WACO21-288-b,WACO21-288,2,2,35,12,47
WACO21-288-d,WACO21-288,4,2,35,12,47
WACO21-606-a,WACO21-606,1,3,35,12,47
WACO21-606-b,WACO21-606,2,3,35,12,47
WACO21-606-c,WACO21-606,3,3,35,12,47
WACO21-618-a,WACO21-618,1,3,35,12,47
WACO21-618-b,WACO21-618,2,3,35,12,47
WACO21-618-c,WACO21-618,3,3,35,12,47
WACO21-600-a,WACO21-600,1,3,35,12,47
WACO21-600-c,WACO21-600,3,3,35,12,47
WACO21-600-d,WACO21-600,4,4,35,12,47
WACO21-600-f,WACO21-600,6,4,35,12,47
WACO21-642-b,WACO21-642,2,5,35,8,43
WACO21-639-b,WACO21-639,2,4,35,5,40
WACO21-639-c,WACO21-639,3,4,35,5,40
WACO21-610-e,WACO21-610,5,4,35,8,43
WACO21-610-b,WACO21-610,2,3,35,5,40
WACO21-610-c,WACO21-610,3,3,35,5,40
WACO21-610-f,WACO21-610,6,4,35,5,40
WACO21-101-e,WACO21-101,5,4,35,12,47
WACO21-101-c,WACO21-101,3,3,35,12,47
WACO21-101-f,WACO21-101,6,4,35,12,47
WACO21-617-d,WACO21-617,4,4,35,12,47
WACO21-617-e,WACO21-617,5,4,35,12,47
WACO21-617-a,WACO21-617,1,3,35,12,47
WACO21-617-b,WACO21-617,2,3,35,12,47
WACO21-617-c,WACO21-617,3,3,35,12,47
WACO21-617-f,WACO21-617,6,4,35,12,47
WACO21-284-a,WACO21-284,1,2,35,5,40
WACO21-284-b,WACO21-284,2,2,35,5,40
WACO21-284-c,WACO21-284,3,2,35,5,40
WACO21-146-a,WACO21-146,1,3,35,8,43
WACO21-146-b,WACO21-146,2,3,35,8,43
WACO21-146-c,WACO21-146,3,3,35,8,43
WACO21-225-a,WACO21-225,1,5,35,8,43
WACO21-225-b,WACO21-225,2,5,35,8,43
WACO21-225-c,WACO21-225,3,5,35,8,43
WACO21-226-b,WACO21-226,2,5,35,8,43
WACO21-604-e,WACO21-604,5,4,35,5,40
WACO21-604-a,WACO21-604,1,3,35,5,40
WACO21-604-b,WACO21-604,2,3,35,5,40
WACO21-604-c,WACO21-604,3,3,35,5,40
WACO21-604-d,WACO21-604,4,4,35,5,40
WACO21-604-f,WACO21-604,6,4,35,5,40
WACO21-493-a,WACO21-493,1,2,35,5,40
WACO21-493-b,WACO21-493,2,2,35,5,40
WACO21-493-c,WACO21-493,3,2,35,5,40
WACO21-499-a,WACO21-499,1,2,35,5,40
WACO21-499-b,WACO21-499,2,2,35,5,40
WACO21-499-c,WACO21-499,3,2,35,5,40
WACO21-498-a,WACO21-498,1,2,35,8,43
WACO21-498-b,WACO21-498,2,2,35,8,43
WACO21-498-c,WACO21-498,3,2,35,8,43
WACO21-491-a,WACO21-491,1,2,35,8,43
WACO21-491-b,WACO21-491,2,2,35,8,43
WACO21-603-a,WACO21-603,1,3,35,5,40
WACO21-603-b,WACO21-603,2,3,35,5,40
WACO21-603-c,WACO21-603,3,3,35,5,40
WACO21-261-c,WACO21-261,3,5,35,8,43
WACO21-261-a,WACO21-261,1,5,35,8,43
WACO21-261-b,WACO21-261,2,5,35,8,43
WACO21-645-c,WACO21-645,3,5,35,8,43
WACO21-645-a,WACO21-645,1,5,35,8,43
WACO21-645-b,WACO21-645,2,5,35,8,43
WACO21-547-c,WACO21-547,3,5,35,8,43
WACO21-503-c,WACO21-503,3,5,35,8,43
WACO21-127-a,WACO21-127,1,2,35,8,43
WACO21-250-a,WACO21-250,1,5,35,8,43
WACO21-250-c,WACO21-250,3,5,35,8,43
WACO21-309-b,WACO21-309,2,4,35,8,43
WACO21-632-c,WACO21-632,3,4,35,12,47
WACO21-632-a,WACO21-632,1,4,35,12,47
WACO21-632-b,WACO21-632,2,4,35,12,47
WACO21-348-c,WACO21-348,3,2,35,8,43
WACO21-571-a,WACO21-571,1,5,35,8,43
WACO21-571-b,WACO21-571,2,5,35,8,43
WACO21-350-a,WACO21-350,1,2,35,12,47
WACO21-350-b,WACO21-350,2,2,35,12,47
WACO21-350-c,WACO21-350,3,2,35,12,47
WACO21-098-a,WACO21-098,1,3,35,12,47
WACO21-098-b,WACO21-098,2,3,35,12,47
WACO21-098-c,WACO21-098,3,3,35,12,47
WACO21-339-a,WACO21-339,1,2,35,8,43
WACO21-339-b,WACO21-339,2,2,35,8,43
WACO21-339-c,WACO21-339,3,2,35,8,43
WACO21-145-a,WACO21-145,1,2,35,8,43
WACO21-145-c,WACO21-145,3,2,35,8,43
WACO21-145-b,WACO21-145,2,2,35,8,43
WACO21-114-a,WACO21-114,1,3,35,8,43
WACO21-114-b,WACO21-114,2,3,35,8,43
WACO21-114-c,WACO21-114,3,3,35,8,43
WACO21-343-c,WACO21-343,3,2,35,5,40
WACO21-343-a,WACO21-343,1,2,35,5,40
WACO21-134-c,WACO21-134,3,3,35,5,40
WACO21-134-f,WACO21-134,6,4,35,5,40
WACO21-126-a,WACO21-126,1,3,35,8,43
WACO21-126-b,WACO21-126,2,3,35,8,43
WACO21-126-c,WACO21-126,3,3,35,8,43
WACO21-496-b,WACO21-496,2,2,35,12,47
WACO21-496-a,WACO21-496,1,2,35,12,47
WACO21-500-b,WACO21-500,2,2,35,5,40
WACO21-500-c,WACO21-500,3,2,35,5,40
WACO21-135-a,WACO21-135,1,2,35,12,47
WACO21-234-a,WACO21-234,1,5,35,8,43
WACO21-234-b,WACO21-234,2,5,35,8,43
WACO21-234-c,WACO21-234,3,5,35,8,43
WACO21-283-a,WACO21-283,1,2,35,5,40
WACO21-283-b,WACO21-283,2,2,35,5,40
WACO21-283-c,WACO21-283,3,2,35,5,40
WACO21-601-b,WACO21-601,2,3,35,5,40
WACO21-601-a,WACO21-601,1,3,35,5,40
WACO21-607-b,WACO21-607,2,3,35,12,47
WACO21-607-e,WACO21-607,5,4,35,12,47
WACO21-262-a,WACO21-262,1,5,35,5,40
WACO21-262-c,WACO21-262,3,5,35,5,40
WACO21-262-b,WACO21-262,2,5,35,5,40
WACO21-315-a,WACO21-315,1,5,35,8,43
WACO21-315-b,WACO21-315,2,5,35,8,43
WACO21-323-b,WACO21-323,2,5,35,8,43
WACO21-664-a,WACO21-664,1,5,35,8,43
