sample_id,sample,tech,MiSeqRun,PCR1cycles,PCR2cycles,PCRcycles
WACO21-321-a,WACO21-321,1,4,35,5,40
WACO21-321-b,WACO21-321,2,4,35,5,40
WACO21-321-c,WACO21-321,3,4,35,5,40
WACO21-342-a,WACO21-342,1,2,35,8,43
WACO21-285-a,WACO21-285,1,2,35,8,43
WACO21-285-b,WACO21-285,2,2,35,8,43
WACO21-285-c,WACO21-285,3,2,35,8,43
WACO21-500-a,WACO21-500,1,2,35,5,40
WACO21-286-b,WACO21-286,2,2,35,12,47
WACO21-286-c,WACO21-286,3,2,35,12,47
WACO21-343-b,WACO21-343,2,2,35,5,40
WACO21-148-a,WACO21-148,1,2,35,5,40
WACO21-148-b,WACO21-148,2,2,35,5,40
WACO21-148-c,WACO21-148,3,2,35,5,40
WACO21-127-b,WACO21-127,2,2,35,8,43
WACO21-127-c,WACO21-127,3,2,35,8,43
WACO21-496-d,WACO21-496,4,2,35,12,47
WACO21-501-b,WACO21-501,2,2,35,12,47
WACO21-501-c,WACO21-501,3,2,35,12,47
WACO21-342-b,WACO21-342,2,2,35,8,43
WACO21-342-c,WACO21-342,3,2,35,8,43
WACO21-348-a,WACO21-348,1,2,35,8,43
WACO21-348-b,WACO21-348,2,2,35,8,43
WACO21-135-b,WACO21-135,2,2,35,12,47
WACO21-135-c,WACO21-135,3,2,35,12,47
WACO21-139-a,WACO21-139,1,2,35,12,47
WACO21-139-b,WACO21-139,2,2,35,12,47
WACO21-139-c,WACO21-139,3,2,35,12,47
WACO21-143-a,WACO21-143,1,2,35,12,47
WACO21-347-a,WACO21-347,1,2,35,12,47
WACO21-347-b,WACO21-347,2,2,35,12,47
WACO21-347-c,WACO21-347,3,2,35,12,47
WACO21-143-b,WACO21-143,2,2,35,12,47
WACO21-143-c,WACO21-143,3,2,35,12,47
WACO21-102-a,WACO21-102,1,3,35,5,40
WACO21-102-b,WACO21-102,2,3,35,5,40
WACO21-102-c,WACO21-102,3,3,35,5,40
WACO21-134-a,WACO21-134,1,3,35,5,40
WACO21-134-b,WACO21-134,2,3,35,5,40
WACO21-601-c,WACO21-601,3,3,35,5,40
WACO21-101-b,WACO21-101,2,3,35,12,47
WACO21-108-b,WACO21-108,2,3,35,12,47
WACO21-128-b,WACO21-128,2,3,35,12,47
WACO21-613-a,WACO21-613,1,3,35,12,47
WACO21-613-b,WACO21-613,2,3,35,12,47
WACO21-613-c,WACO21-613,3,3,35,12,47
WACO21-612-a,WACO21-612,1,3,35,12,47
WACO21-612-c,WACO21-612,3,3,35,12,47
WACO21-600-b,WACO21-600,2,3,35,12,47
WACO21-607-a,WACO21-607,1,3,35,12,47
WACO21-607-c,WACO21-607,3,3,35,12,47
WACO21-108-a,WACO21-108,1,3,35,12,47
WACO21-639-a,WACO21-639,1,4,35,5,40
WACO21-102-d,WACO21-102,4,4,35,5,40
WACO21-102-e,WACO21-102,5,4,35,5,40
WACO21-102-f,WACO21-102,6,4,35,5,40
WACO21-108-d,WACO21-108,4,4,35,12,47
WACO21-565-a,WACO21-565,1,4,35,12,47
WACO21-565-b,WACO21-565,2,4,35,12,47
WACO21-565-c,WACO21-565,3,4,35,12,47
WACO21-512-a,WACO21-512,1,4,35,8,43
WACO21-512-c,WACO21-512,3,4,35,8,43
WACO21-134-d,WACO21-134,4,4,35,8,43
WACO21-134-e,WACO21-134,5,4,35,8,43
WACO21-108-e,WACO21-108,5,4,35,12,47
WACO21-128-e,WACO21-128,5,4,35,12,47
WACO21-613-d,WACO21-613,4,4,35,12,47
WACO21-613-e,WACO21-613,5,4,35,12,47
WACO21-613-f,WACO21-613,6,4,35,12,47
WACO21-612-d,WACO21-612,4,4,35,12,47
WACO21-612-f,WACO21-612,6,4,35,12,47
WACO21-600-e,WACO21-600,5,4,35,12,47
WACO21-607-d,WACO21-607,4,4,35,12,47
WACO21-607-f,WACO21-607,6,4,35,12,47
WACO21-309-a,WACO21-309,1,4,35,8,43
WACO21-309-c,WACO21-309,3,4,35,8,43
WACO21-310-a,WACO21-310,1,4,35,8,43
WACO21-310-b,WACO21-310,2,4,35,8,43
WACO21-310-c,WACO21-310,3,4,35,8,43
WACO21-573-a,WACO21-573,1,5,35,8,43
WACO21-573-b,WACO21-573,2,5,35,8,43
WACO21-573-c,WACO21-573,3,5,35,8,43
WACO21-642-c,WACO21-642,3,5,35,8,43
WACO21-547-a,WACO21-547,1,5,35,8,43
WACO21-319-a,WACO21-319,1,5,35,8,43
WACO21-319-b,WACO21-319,2,5,35,8,43
WACO21-319-c,WACO21-319,3,5,35,8,43
WACO21-323-a,WACO21-323,1,5,35,8,43
WACO21-250-b,WACO21-250,2,5,35,8,43
WACO21-315-c,WACO21-315,3,5,35,8,43
WACO21-591-a,WACO21-591,1,5,35,8,43
WACO21-591-b,WACO21-591,2,5,35,8,43
WACO21-591-c,WACO21-591,3,5,35,8,43
WACO21-571-c,WACO21-571,3,5,35,8,43
WACO21-592-a,WACO21-592,1,5,35,8,43
WACO21-592-b,WACO21-592,2,5,35,8,43
WACO21-592-c,WACO21-592,3,5,35,8,43
WACO21-564-a,WACO21-564,1,5,35,8,43
WACO21-265-a,WACO21-265,1,5,35,8,43
WACO21-265-b,WACO21-265,2,5,35,8,43
WACO21-265-c,WACO21-265,3,5,35,8,43
WACO21-226-a,WACO21-226,1,5,35,8,43
WACO21-226-c,WACO21-226,3,5,35,8,43
WACO21-263-a,WACO21-263,1,5,35,5,40
WACO21-263-b,WACO21-263,2,5,35,5,40
WACO21-263-c,WACO21-263,3,5,35,5,40
WACO21-664-b,WACO21-664,2,5,35,8,43
WACO21-664-c,WACO21-664,3,5,35,8,43
WACO21-564-b,WACO21-564,2,5,35,8,43
WACO21-564-c,WACO21-564,3,5,35,8,43
WACO21-106-g,WACO21-106,7,3,35,12,47
WACO21-106-h,WACO21-106,8,3,35,12,47
WACO21-106-i,WACO21-106,9,3,35,12,47
WACO21-106-b,WACO21-106,2,2,35,8,43
WACO21-106-e,WACO21-106,5,4,NA,NA,NA
WACO21-106-a,WACO21-106,1,2,35,8,43
WACO21-106-c,WACO21-106,3,2,35,8,43
