MiSeqRun,Sample_name,sample_id,Hash,nReads
3,4,WACO21-102-a,5788d9dc7676015bdad42714abfc36866ef9dde3,64923
3,4,WACO21-102-a,a6f5f7f53e2f8b43308eeac1ac48c2b632be7216,17
3,4,WACO21-102-a,8631c8817a3e0f66abffa477be2f44653cfe0d60,196
3,4,WACO21-102-a,03b43dad6d40a4c17a2f64069afcc82a9a4ec886,99
3,4,WACO21-102-a,2709a4d571ff42851d46d65445d311688eec7689,38
3,4,WACO21-102-a,f1b6cbe188bc13d30320ad0d31d6b4a5b602218f,56
3,4,WACO21-102-a,befec3cb525983c44fa97460953a90ff584b8d47,84
3,4,WACO21-102-a,99acb86a13f52fbc71cc085c5ec864711a664817,60
3,4,WACO21-102-a,26829b459ed76ee1c57239664f0d0a64a8e93c69,14
3,5,WACO21-102-b,5788d9dc7676015bdad42714abfc36866ef9dde3,108278
3,5,WACO21-102-b,a4641c5c5237012cecb994fbe97a1deb3e320434,31
3,5,WACO21-102-b,86c239fc0f8ea6c487eb6dbec7a87320436b5089,9
3,5,WACO21-102-b,8631c8817a3e0f66abffa477be2f44653cfe0d60,217
3,5,WACO21-102-b,03b43dad6d40a4c17a2f64069afcc82a9a4ec886,135
3,5,WACO21-102-b,2709a4d571ff42851d46d65445d311688eec7689,104
3,5,WACO21-102-b,f1b6cbe188bc13d30320ad0d31d6b4a5b602218f,73
3,5,WACO21-102-b,befec3cb525983c44fa97460953a90ff584b8d47,161
3,5,WACO21-102-b,99acb86a13f52fbc71cc085c5ec864711a664817,63
3,5,WACO21-102-b,9ac6ffe7683e3120ca901f559d8c6330761da93d,3
3,5,WACO21-102-b,26829b459ed76ee1c57239664f0d0a64a8e93c69,12
3,5,WACO21-102-b,06ff87c090d55a7c96b6b38a3ceb9876a63e153b,36
3,5,WACO21-102-b,873b1bcfde9773fabbae8c5f9875941555bfdda1,7
3,5,WACO21-102-b,6fd18f87461943b2016f4c7fbf5234ed7bd9eed8,6
3,5,WACO21-102-b,006a96ba8d932e3aed6edad2da8ab563baa21461,5
3,5,WACO21-102-b,f631ce7bd8ee3cf3d5ff44b31930150b62b0729a,4
3,5,WACO21-102-b,74073271f33c5a6ae8c29aa68625f4e241e018e2,3
3,6,WACO21-102-c,5788d9dc7676015bdad42714abfc36866ef9dde3,99856
3,6,WACO21-102-c,a4641c5c5237012cecb994fbe97a1deb3e320434,9
