MiSeqRun,Sample_name,sample_id,Hash,nReads
2,1,WACO21-281-a,5788d9dc7676015bdad42714abfc36866ef9dde3,1096
2,1,WACO21-281-a,a4641c5c5237012cecb994fbe97a1deb3e320434,182
2,1,WACO21-281-a,b64642bb9bc83677dfe2ba3b7743bf89fb68e048,7178
2,1,WACO21-281-a,303a7a1ad22210dbecf74abe0620e53eb9d6e537,10050
2,1,WACO21-281-a,c3355752bffdf3d66902fd6f8f8d88b47b42c0af,7362
2,1,WACO21-281-a,04355f2ce00997ddd50befacc1556459017f7ef5,960
2,1,WACO21-281-a,5574e698b948a51468ddee630df9daed0991b4f6,5832
2,1,WACO21-281-a,fc5746bd8f7e6972a052207bb67c35a8d43f9644,41
2,1,WACO21-281-a,d1d5fe434425217af49ece26b2c24dc85504916c,167
2,1,WACO21-281-a,d4ff8cd47c30f318663b54d2803bcbec3fb529ab,16
2,1,WACO21-281-a,bf07a32999a15a703e8b0b5598c35d0b0d09bb39,3422
2,1,WACO21-281-a,9baee4d2036403c8011b631d754c35cf831008b5,25
2,1,WACO21-281-a,881a31a2375572fdc80200ffffcc32c66f776838,2931
2,1,WACO21-281-a,b19481a39e0a7a71652ee14b823016de50865c5e,1230
2,1,WACO21-281-a,728b395f38e35367564e5f02278aee01bc251841,2311
2,1,WACO21-281-a,0172436a6f35900304991130086d46c317821357,369
2,1,WACO21-281-a,1eabc241a46741af361ad4ff9ba4d95d650fdc9c,356
2,1,WACO21-281-a,f3122cb061ab11d5b91d6135f0465b68cd3c38e9,2658
2,1,WACO21-281-a,c44cd3e9c1935f90fb011adda14272dfbdb859b3,1927
2,1,WACO21-281-a,a149eb2129b3b3314a90010bd86a8ebd493ff135,16
2,1,WACO21-281-a,5d0e3985092a78df959f9bba5bc9c6fdc4b7efc8,1369
2,1,WACO21-281-a,46ae43006e3ae3906e76bd4d91f756e57f340455,94
2,1,WACO21-281-a,da78231f8f4f50dfd032ce0d7e15628ce43f852b,908
2,1,WACO21-281-a,615353d8c93c88d9a9d3dff7ca38a44fe8b35333,566
