MiSeqRun,Sample_name,sample_id,Hash,nReads
4,1,WACO21-639-a,5788d9dc7676015bdad42714abfc36866ef9dde3,96648
4,1,WACO21-639-a,98ec7fd230e438cf5da2ba8467bdc7ceb95a8e2b,21992
4,1,WACO21-639-a,a4641c5c5237012cecb994fbe97a1deb3e320434,98
4,1,WACO21-639-a,7c8468fcce9ab55cd01fce9b83075dd04cc552ba,1339
4,1,WACO21-639-a,062708a0e273d964c1c6b6f11124b43186edd1a7,2358
4,1,WACO21-639-a,a6f5f7f53e2f8b43308eeac1ac48c2b632be7216,102
4,1,WACO21-639-a,82062b9cd679061926bd12072c347ffc09be028c,5193
4,1,WACO21-639-a,1167f4c4381369d51d94db86e497609f02b5ffa1,1413
4,1,WACO21-639-a,81137ad7d09cacd815468d26f7e2c155abfbdeb2,1861
4,1,WACO21-639-a,328e6baee23b9ab10d1b4af6e00a4a78fd64ec8c,103
4,1,WACO21-639-a,b02749136ff37f34b110cfc0aadf1abbb19ffce4,544
4,1,WACO21-639-a,d3b36342e6bea3a7bf617deadeebca28638aebdb,3895
4,1,WACO21-639-a,fac1119f830f1b13d29a73cbdd8d0e4e043338db,30
4,1,WACO21-639-a,9480f007f14660549e23de9b02526fd5be343006,127
4,1,WACO21-639-a,f7480017a3bcdb2b55e535639f3312586515a17b,91
4,1,WACO21-639-a,bee84d3d2f5697ad790e739b72692113142b7eda,489
4,1,WACO21-639-a,6575fbabf299c465ce85d26f9561575f207505d5,3579
4,1,WACO21-639-a,fd2d25bb5336bb36b7020e835601a6de9b40a146,420
4,1,WACO21-639-a,0b1a5fb517ed42eb381880b95f035f0d64b2750f,2158
4,1,WACO21-639-a,94d7733c229a6928b1026efe72627a9b7a6a868d,129
4,1,WACO21-639-a,ebd75d373e7c94e4d716391124e17c7f0ff55e15,106
4,1,WACO21-639-a,fc5746bd8f7e6972a052207bb67c35a8d43f9644,22
4,1,WACO21-639-a,3682879a7145b9d5b227bca6ebb3b2c66b11553c,216
4,1,WACO21-639-a,0ec00a19823f2427668ff8541c672a1e3c626ed7,115
4,1,WACO21-639-a,751a2c67e218e234357de0b527e112ffcccfda01,195
4,1,WACO21-639-a,7e6e7d9fd7e2559ed4419b59619f76eca6fa47fa,196
4,1,WACO21-639-a,8a7c9709972f2725279c3138069eaffe2a309e25,57
4,1,WACO21-639-a,47ef98fa63b8ffe7143925d5713900912e2e68bf,69
4,1,WACO21-639-a,48a3a222241d04fb192562a7a327fa2dacd7ab70,40
4,1,WACO21-639-a,33feea15331389521a3f4707e1d32e8d3cf7404f,132
4,1,WACO21-639-a,897ccefdd9575713d5df48c41c7dabce19acfdff,60
4,1,WACO21-639-a,f08c85dc673c329cb7edacbd7482329048ab651e,14
4,1,WACO21-639-a,929506d743f2fa4c002a62f9f1f09160cef18d5a,83
4,1,WACO21-639-a,ccbe024e1044d0b7786d219ae11d57184d8e57bf,382
4,1,WACO21-639-a,f58b7fd85db22f28d995810b4613aaf3fd827750,125
4,1,WACO21-639-a,77bb931390ca190a006debb3241a927c9160f4ae,32
4,1,WACO21-639-a,82ba1e7f9d339d7c2719fb68a8a58304696ac3f1,807
4,1,WACO21-639-a,5fb3940d06346c69ba8483f1d9d761fe935b81d0,33
4,1,WACO21-639-a,fb510626ec82957b84b98dbc5f8983610a35a079,9
4,1,WACO21-639-a,1e0e13fa803e6567b994b256101ea6fdc8be252f,72
4,1,WACO21-639-a,1fb0f0e1aec649a220eaf760d7993e2a178cfbf3,1307
4,1,WACO21-639-a,8631c8817a3e0f66abffa477be2f44653cfe0d60,330
4,1,WACO21-639-a,ae6f0e912a2e9241dc416e9e415d1a897d9b7955,162
4,1,WACO21-639-a,e8bcb5afcc78531532cd196497c1362f35a7ae85,61
4,1,WACO21-639-a,9903608a3b6bac059de3dc5d127e72e610da1c94,119
4,1,WACO21-639-a,5fe3ae66b00c15bbdc6e70b362392d69fabc562e,18
4,1,WACO21-639-a,96bfa0b713de704137b2b8d9dd77bc9dc9fd9263,87
4,1,WACO21-639-a,befec3cb525983c44fa97460953a90ff584b8d47,436
4,1,WACO21-639-a,3c483cf097bb468420bb89caec8a6b6fbe3964a5,1217
4,1,WACO21-639-a,6467cd0ac20a41a482b2d7de743a35df60cbed8f,727
4,1,WACO21-639-a,2e92d32a325b4be822b1fac2b7d85c010fe0c1c5,21
4,1,WACO21-639-a,03b43dad6d40a4c17a2f64069afcc82a9a4ec886,151
4,1,WACO21-639-a,61148818fb131524d01e03274d38fac48477238f,374
4,1,WACO21-639-a,583519adba48f7eb0ed16ef8f70efe6a43ee3fe7,26
4,1,WACO21-639-a,9e88be0f109a8091c8c5170857a769b494400682,8
4,1,WACO21-639-a,438fcd1e040c504f2e56416b5c821748ab1e6c70,16
4,1,WACO21-639-a,da7ab2d77addf48e4bbf40c697f276ae8db1e0e4,104
4,1,WACO21-639-a,f18ee9a7d4dc79a31fac1dc1fdafae7be9b6188b,48
4,1,WACO21-639-a,0a507f04fb4ab5b5ac600e9d3d6ff6ed359f8c53,207
4,1,WACO21-639-a,1e36eb70a7a8e0350b2315f7297bb9a14bd26b5b,25
4,1,WACO21-639-a,9b543e3434d06bfd7abdecba0e99ae74e8fab8ca,134
4,1,WACO21-639-a,a7162a798751d02bb0716dc275564d3fc040c2bb,199
4,1,WACO21-639-a,c252da8f39cf805edab1cc99a2601e27b1f20adb,14
4,1,WACO21-639-a,f1b6cbe188bc13d30320ad0d31d6b4a5b602218f,75
4,1,WACO21-639-a,ff371f0d29e18af079f045732638dc51525774ba,25
4,1,WACO21-639-a,0312052bb4f6c8b41c0fda23f1f2b60f7e643f6e,20
4,1,WACO21-639-a,db61a941f572ccce68f069c6e2a43dbc54e5c030,14
4,1,WACO21-639-a,a79f780afa36b6d9568b8da91d63a0971ba501c6,55
4,1,WACO21-639-a,b6eb2bb4034e03dd74e12f2d3caea1378d699ca7,3
4,1,WACO21-639-a,4b998751690452ecdf790a428854715bfc81a760,1
4,1,WACO21-639-a,ebb3594538ecb7b078e05347315a7c3280001525,59
4,1,WACO21-639-a,c783600f2c39a27a181ae3e7b99921d73c0ae16b,64
4,1,WACO21-639-a,03e89f3247e0785a37b950ff2025ccb0cdb4eea0,27
4,1,WACO21-639-a,20f52b9d238628fe0b7cca066c2f4806a0e848f1,89
4,1,WACO21-639-a,b26863c09d49ca67b716ee9e655a20e314d2a2d0,18
