Run,Locus,Sample_name,Sample_label,sample,tech,EGC_ID,site_month
2,BF3,1,WACO21-281-a,WACO21-281,1,WACO.2021.281,Oysterville-Jul
2,BF3,2,WACO21-281-c,WACO21-281,3,WACO.2021.281,Oysterville-Jul
2,BF3,3,WACO21-281-e,WACO21-281,5,WACO.2021.281,Oysterville-Jul
2,BF3,4,WACO21-283-a,WACO21-283,1,WACO.2021.283,Oysterville-Jul
2,BF3,5,WACO21-283-b,WACO21-283,2,WACO.2021.283,Oysterville-Jul
2,BF3,6,WACO21-283-c,WACO21-283,3,WACO.2021.283,Oysterville-Jul
2,BF3,7,WACO21-284-a,WACO21-284,1,WACO.2021.284,Oysterville-Jul
2,BF3,8,WACO21-284-b,WACO21-284,2,WACO.2021.284,Oysterville-Jul
2,BF3,9,WACO21-284-c,WACO21-284,3,WACO.2021.284,Oysterville-Jul
2,BF3,10,WACO21-285-a,WACO21-285,1,WACO.2021.285,Oysterville-Jul
2,BF3,13,WACO21-106-a,WACO21-106,1,WACO.2021.106,Oysterville-May
2,BF3,14,WACO21-106-b,WACO21-106,2,WACO.2021.106,Oysterville-May
2,BF3,15,WACO21-106-c,WACO21-106,3,WACO.2021.106,Oysterville-May
2,BF3,16,WACO21-288-a,WACO21-288,1,WACO.2021.288,Oysterville-Jul
2,BF3,17,WACO21-499-a,WACO21-499,1,WACO.2021.499,Long Beach-Sep
2,BF3,18,WACO21-499-b,WACO21-499,2,WACO.2021.499,Long Beach-Sep
2,BF3,19,WACO21-499-c,WACO21-499,3,WACO.2021.499,Long Beach-Sep
2,BF3,20,WACO21-493-a,WACO21-493,1,WACO.2021.493,Long Beach-Sep
2,BF3,21,WACO21-493-b,WACO21-493,2,WACO.2021.493,Long Beach-Sep
2,BF3,22,WACO21-493-c,WACO21-493,3,WACO.2021.493,Long Beach-Sep
2,BF3,24,WACO21-500-b,WACO21-500,2,WACO.2021.500,Long Beach-Sep
2,BF3,25,WACO21-500-c,WACO21-500,3,WACO.2021.500,Long Beach-Sep
2,BF3,29,WACO21-498-a,WACO21-498,1,WACO.2021.498,Long Beach-Sep
2,BF3,30,WACO21-498-b,WACO21-498,2,WACO.2021.498,Long Beach-Sep
2,BF3,31,WACO21-498-c,WACO21-498,3,WACO.2021.498,Long Beach-Sep
2,BF3,32,WACO21-491-a,WACO21-491,1,WACO.2021.491,Long Beach-Sep
2,BF3,33,WACO21-097-a,WACO21-097,1,WACO.2021.097,Oysterville-May
2,BF3,34,WACO21-097-b,WACO21-097,2,WACO.2021.097,Oysterville-May
2,BF3,35,WACO21-097-c,WACO21-097,3,WACO.2021.097,Oysterville-May
2,BF3,36,WACO21-288-b,WACO21-288,2,WACO.2021.288,Oysterville-Jul
2,BF3,37,WACO21-288-d,WACO21-288,4,WACO.2021.288,Oysterville-Jul
2,BF3,39,WACO21-286-b,WACO21-286,2,WACO.2021.286,Oysterville-Jul
2,BF3,41,WACO21-340-a,WACO21-340,1,WACO.2021.340,Long Beach-Jul
2,BF3,42,WACO21-340-b,WACO21-340,2,WACO.2021.340,Long Beach-Jul
2,BF3,43,WACO21-340-c,WACO21-340,3,WACO.2021.340,Long Beach-Jul
2,BF3,44,WACO21-343-a,WACO21-343,1,WACO.2021.343,Long Beach-Jul
2,BF3,46,WACO21-343-c,WACO21-343,3,WACO.2021.343,Long Beach-Jul
2,BF3,47,WACO21-339-a,WACO21-339,1,WACO.2021.339,Long Beach-Jul
2,BF3,48,WACO21-339-b,WACO21-339,2,WACO.2021.339,Long Beach-Jul
2,BF3,50,WACO21-148-b,WACO21-148,2,WACO.2021.148,Long Beach-May
2,BF3,52,WACO21-127-a,WACO21-127,1,WACO.2021.127,Long Beach-May
2,BF3,54,WACO21-127-c,WACO21-127,3,WACO.2021.127,Long Beach-May
2,BF3,55,WACO21-145-a,WACO21-145,1,WACO.2021.145,Long Beach-May
2,BF3,56,WACO21-145-c,WACO21-145,3,WACO.2021.145,Long Beach-May
2,BF3,57,WACO21-491-b,WACO21-491,2,WACO.2021.491,Long Beach-Sep
2,BF3,59,WACO21-496-a,WACO21-496,1,WACO.2021.496,Long Beach-Sep
2,BF3,60,WACO21-496-b,WACO21-496,2,WACO.2021.496,Long Beach-Sep
2,BF3,63,WACO21-501-b,WACO21-501,2,WACO.2021.501,Long Beach-Sep
2,BF3,65,WACO21-339-c,WACO21-339,3,WACO.2021.339,Long Beach-Jul
2,BF3,66,WACO21-342-a,WACO21-342,1,WACO.2021.342,Long Beach-Jul
2,BF3,71,WACO21-348-c,WACO21-348,3,WACO.2021.348,Long Beach-Jul
2,BF3,73,WACO21-145-b,WACO21-145,2,WACO.2021.145,Long Beach-May
2,BF3,74,WACO21-135-a,WACO21-135,1,WACO.2021.135,Long Beach-May
2,BF3,76,WACO21-135-c,WACO21-135,3,WACO.2021.135,Long Beach-May
2,BF3,78,WACO21-139-b,WACO21-139,2,WACO.2021.139,Long Beach-May
2,BF3,81,WACO21-350-a,WACO21-350,1,WACO.2021.350,Long Beach-Jul
2,BF3,82,WACO21-350-b,WACO21-350,2,WACO.2021.350,Long Beach-Jul
2,BF3,83,WACO21-350-c,WACO21-350,3,WACO.2021.350,Long Beach-Jul
2,BF3,87,WACO21-143-b,WACO21-143,2,WACO.2021.143,Long Beach-May
