EGC_ID,Sample_label,CollectionDate,Water Body,Site_Name,CW_mm,Sex
WACO.2021.652,WACO21-652,9/7/2021,Willapa,Stackpole,54,Male
WACO.2021.653,WACO21-653,9/7/2021,Willapa,Stackpole,57,Female
WACO.2021.654,WACO21-654,9/7/2021,Willapa,Stackpole,43,Male
WACO.2021.655,WACO21-655,9/7/2021,Willapa,Stackpole,44,Male
WACO.2021.656,WACO21-656,9/7/2021,Willapa,Stackpole,47,Male
WACO.2021.657,WACO21-657,9/7/2021,Willapa,Stackpole,50,Female
WACO.2021.658,WACO21-658,9/7/2021,Willapa,Stackpole,46,Male
WACO.2021.659,WACO21-659,9/7/2021,Willapa,Stackpole,80,Male
WACO.2021.660,WACO21-660,9/7/2021,Willapa,Stackpole,43,Male
WACO.2021.661,WACO21-661,9/7/2021,Willapa,Stackpole,55,Male
WACO.2021.662,WACO21-662,9/7/2021,Willapa,Stackpole,62,Male
WACO.2021.663,WACO21-663,9/7/2021,Willapa,Stackpole,65,Male
WACO.2021.664,WACO21-664,9/7/2021,Willapa,Stackpole,64,Female
WACO.2021.665,WACO21-665,9/7/2021,Willapa,Stackpole,61,Male
WACO.2021.666,WACO21-666,9/7/2021,Willapa,Stackpole,56,Female
WACO.2021.667,WACO21-667,9/7/2021,Willapa,Stackpole,57,Male
WACO.2021.668,WACO21-668,9/7/2021,Willapa,Stackpole,50,Female
