EGC_ID,Sample_label,CollectionDate,Water Body,Site_Name,CW_mm,Sex
WACO.2021.241,WACO21-241,7/8/2021,Willapa,Stackpole,52,Male
WACO.2021.242,WACO21-242,7/8/2021,Willapa,Stackpole,43,Male
WACO.2021.243,WACO21-243,7/8/2021,Willapa,Stackpole,50,Male
WACO.2021.244,WACO21-244,7/8/2021,Willapa,Stackpole,43,Male
WACO.2021.245,WACO21-245,7/8/2021,Willapa,Stackpole,46,Male
WACO.2021.246,WACO21-246,7/8/2021,Willapa,Stackpole,35,Female
WACO.2021.247,WACO21-247,7/8/2021,Willapa,Stackpole,74,Male
WACO.2021.248,WACO21-248,7/8/2021,Willapa,Stackpole,48,Female
WACO.2021.249,WACO21-249,7/8/2021,Willapa,Stackpole,36,Female
WACO.2021.250,WACO21-250,7/8/2021,Willapa,Stackpole,69,Male
WACO.2021.251,WACO21-251,7/8/2021,Willapa,Stackpole,36,Female
WACO.2021.252,WACO21-252,7/8/2021,Willapa,Stackpole,45,Female
WACO.2021.253,WACO21-253,7/8/2021,Willapa,Stackpole,54,Male
WACO.2021.254,WACO21-254,7/8/2021,Willapa,Stackpole,45,Female
WACO.2021.255,WACO21-255,7/8/2021,Willapa,Stackpole,36,Female
WACO.2021.256,WACO21-256,7/8/2021,Willapa,Stackpole,37,Male
WACO.2021.257,WACO21-257,7/8/2021,Willapa,Stackpole,33,Female
WACO.2021.258,WACO21-258,7/8/2021,Willapa,Stackpole,42,Female
WACO.2021.259,WACO21-259,7/8/2021,Willapa,Stackpole,69,Male
WACO.2021.260,WACO21-260,7/8/2021,Willapa,Stackpole,57,Male
WACO.2021.261,WACO21-261,7/8/2021,Willapa,Stackpole,62,Male
WACO.2021.262,WACO21-262,7/8/2021,Willapa,Stackpole,78,Male
WACO.2021.263,WACO21-263,7/8/2021,Willapa,Stackpole,59,Male
WACO.2021.264,WACO21-264,7/8/2021,Willapa,Stackpole,50,Male
WACO.2021.265,WACO21-265,7/8/2021,Willapa,Stackpole,54,Male
WACO.2021.266,WACO21-266,7/8/2021,Willapa,Stackpole,37,Male
WACO.2021.267,WACO21-267,7/8/2021,Willapa,Stackpole,61,Female
WACO.2021.268,WACO21-268,7/8/2021,Willapa,Stackpole,67,Male
WACO.2021.269,WACO21-269,7/8/2021,Willapa,Stackpole,43,Male
WACO.2021.270,WACO21-270,7/8/2021,Willapa,Stackpole,38,Female
WACO.2021.271,WACO21-271,7/8/2021,Willapa,Stackpole,78,Male
WACO.2021.272,WACO21-272,7/8/2021,Willapa,Stackpole,59,Male
WACO.2021.273,WACO21-273,7/8/2021,Willapa,Stackpole,47,Female
WACO.2021.274,WACO21-274,7/8/2021,Willapa,Stackpole,33,Male
WACO.2021.275,WACO21-275,7/8/2021,Willapa,Oysterville,40,Male
WACO.2021.276,WACO21-276,7/8/2021,Willapa,Oysterville,42,Male
WACO.2021.277,WACO21-277,7/8/2021,Willapa,Oysterville,58,Male
WACO.2021.278,WACO21-278,7/8/2021,Willapa,Oysterville,53,Female
WACO.2021.279,WACO21-279,7/8/2021,Willapa,Oysterville,52,Male
WACO.2021.280,WACO21-280,7/8/2021,Willapa,Oysterville,53,Female
WACO.2021.281,WACO21-281,7/8/2021,Willapa,Oysterville,61,Male
WACO.2021.282,WACO21-282,7/8/2021,Willapa,Oysterville,48,Female
WACO.2021.283,WACO21-283,7/8/2021,Willapa,Oysterville,44,Male
WACO.2021.284,WACO21-284,7/8/2021,Willapa,Oysterville,69,Male
WACO.2021.285,WACO21-285,7/8/2021,Willapa,Oysterville,52,Male
WACO.2021.286,WACO21-286,7/8/2021,Willapa,Oysterville,54,Male
WACO.2021.287,WACO21-287,7/8/2021,Willapa,Oysterville,49,Female
WACO.2021.288,WACO21-288,7/8/2021,Willapa,Oysterville,62,Female
WACO.2021.289,WACO21-289,7/8/2021,Willapa,Oysterville,55,Female
WACO.2021.290,WACO21-290,7/8/2021,Willapa,Oysterville,51,Male
WACO.2021.291,WACO21-291,7/8/2021,Willapa,Nahcotta,47,Female
WACO.2021.292,WACO21-292,7/8/2021,Willapa,Nahcotta,56,Female
WACO.2021.293,WACO21-293,7/8/2021,Willapa,Nahcotta,77,Female
WACO.2021.294,WACO21-294,7/8/2021,Willapa,Nahcotta,56,Female
WACO.2021.295,WACO21-295,7/8/2021,Willapa,Nahcotta,55,Female
WACO.2021.296,WACO21-296,7/8/2021,Willapa,Nahcotta,54,Male
WACO.2021.297,WACO21-297,7/8/2021,Willapa,Nahcotta,50,Male
WACO.2021.298,WACO21-298,7/8/2021,Willapa,Nahcotta,64,Male
WACO.2021.299,WACO21-299,7/8/2021,Willapa,Nahcotta,46,Female
WACO.2021.300,WACO21-300,7/8/2021,Willapa,Nahcotta,47,Female
WACO.2021.301,WACO21-301,7/8/2021,Willapa,Nahcotta,81,Male
WACO.2021.302,WACO21-302,7/8/2021,Willapa,Nahcotta,51,Male
WACO.2021.303,WACO21-303,7/8/2021,Willapa,Nahcotta,54,Female
WACO.2021.304,WACO21-304,7/8/2021,Willapa,Nahcotta,60,Female
WACO.2021.305,WACO21-305,7/8/2021,Willapa,Nahcotta,56,Female
WACO.2021.306,WACO21-306,7/8/2021,Willapa,Nahcotta,64,Male
WACO.2021.307,WACO21-307,7/8/2021,Willapa,Nahcotta,67,Male
WACO.2021.308,WACO21-308,7/8/2021,Willapa,Nahcotta,61,Male
WACO.2021.309,WACO21-309,7/8/2021,Willapa,Nahcotta,71,Male
WACO.2021.310,WACO21-310,7/8/2021,Willapa,Nahcotta,69,Male
WACO.2021.311,WACO21-311,7/8/2021,Willapa,Nahcotta,48,Female
WACO.2021.312,WACO21-312,7/8/2021,Willapa,Nahcotta,58,Male
WACO.2021.313,WACO21-313,7/8/2021,Willapa,Nahcotta,44,Female
WACO.2021.314,WACO21-314,7/8/2021,Willapa,Nahcotta,54,Female
WACO.2021.315,WACO21-315,7/8/2021,Willapa,Nahcotta,60,Male
WACO.2021.316,WACO21-316,7/8/2021,Willapa,Nahcotta,58,Male
WACO.2021.317,WACO21-317,7/8/2021,Willapa,Nahcotta,58,Male
WACO.2021.318,WACO21-318,7/8/2021,Willapa,Nahcotta,55,Male
WACO.2021.319,WACO21-319,7/8/2021,Willapa,Nahcotta,63,Male
WACO.2021.320,WACO21-320,7/8/2021,Willapa,Nahcotta,57,Male
WACO.2021.321,WACO21-321,7/8/2021,Willapa,Nahcotta,69,Male
WACO.2021.322,WACO21-322,7/8/2021,Willapa,Nahcotta,60,Female
WACO.2021.323,WACO21-323,7/8/2021,Willapa,Nahcotta,61,Male
WACO.2021.324,WACO21-324,7/8/2021,Willapa,Nahcotta,52,Male
WACO.2021.325,WACO21-325,7/8/2021,Willapa,Nahcotta,56,Female
WACO.2021.326,WACO21-326,7/8/2021,Willapa,Nahcotta,58,Male
WACO.2021.327,WACO21-327,7/8/2021,Willapa,Nahcotta,61,Female
WACO.2021.328,WACO21-328,7/8/2021,Willapa,Nahcotta,60,Male
WACO.2021.329,WACO21-329,7/8/2021,Willapa,Nahcotta,44,Female
WACO.2021.330,WACO21-330,7/8/2021,Willapa,Nahcotta,59,Female
WACO.2021.331,WACO21-331,7/8/2021,Willapa,Nahcotta,53,Female
WACO.2021.332,WACO21-332,7/8/2021,Willapa,Nahcotta,48,Female
WACO.2021.333,WACO21-333,7/8/2021,Willapa,Nahcotta,53,Female
WACO.2021.334,WACO21-334,7/8/2021,Willapa,Nahcotta,52,Female
WACO.2021.335,WACO21-335,7/8/2021,Willapa,Nahcotta,53,Male
